Voltage,Current,Power,,,,,,,,,,,,,,,,,,,
19.2320469,6.375613092,122.61609,,,,,,,,,,,,,,,,,,,
19.23595506,6.070464094,116.7711745,,,,,,,,,,,,,,,,,,,
19.24767953,5.932896922,114.1944987,,,,,,,,,,,,,,,,,,,
19.24572545,5.802833415,111.6797387,,,,,,,,,,,,,,,,,,,
19.23790914,5.637752809,108.4585763,,,,,,,,,,,,,,,,,,,
19.25354177,5.495183195,105.8017392,,,,,,,,,,,,,,,,,,,
19.25158769,5.375124573,103.479682,,,,,,,,,,,,,,,,,,,
19.24181729,5.660263801,108.9137619,,,,,,,,,,,,,,,,,,,
19.23400098,5.665266243,108.9657365,,,,,,,,,,,,,,,,,,,
19.16560821,5.495183195,105.3185281,,,,,,,,,,,,,,,,,,,
19.15583781,5.790327308,110.9185708,,,,,,,,,,,,,,,,,,,
19.15583781,5.442657548,104.2586652,,,,,,,,,,,,,,,,,,,
19.15974597,5.25506595,100.6857287,,,,,,,,,,,,,,,,,,,
19.16170005,5.592730826,107.1662305,,,,,,,,,,,,,,,,,,,
19.15583781,5.190034196,99.4194533,,,,,,,,,,,,,,,,,,,
19.12652662,5.777821202,110.509651,,,,,,,,,,,,,,,,,,,
19.14606742,5.612740596,107.4619098,,,,,,,,,,,,,,,,,,,
19.13434294,5.442657548,104.141676,,,,,,,,,,,,,,,,,,,
19.14802149,5.315095261,101.7735583,,,,,,,,,,,,,,,,,,,
